time:203.65352832499963, p0:(113.5, 35.5, 65.5), p1:(113.5, 35.5, 67.75), fT:2 
time:203.68686165833296, p0:(113.5, 35.5, 67.75), p1:(113.5, 35.5, 70.75), fT:2 
time:203.7201949916663, p0:(113.5, 35.5, 70.75), p1:(113.5, 35.5, 73.0), fT:2 
time:203.75352832499962, p0:(113.5, 35.5, 73.0), p1:(113.5, 35.5, 75.5), fT:3 
time:203.8035283249996, p0:(113.5, 35.5, 75.5), p1:(113.5, 35.5, 78.25), fT:2 
time:203.83686165833294, p0:(113.5, 35.5, 78.25), p1:(113.5, 35.5, 80.25), fT:2 
time:203.8701949916663, p0:(113.5, 35.5, 80.25), p1:(113.5, 35.5, 82.5), fT:2 
time:203.90352832499963, p0:(113.5, 35.5, 82.5), p1:(113.5, 35.5, 85.5), fT:2 
time:203.93686165833296, p0:(113.5, 35.5, 85.5), p1:(113.5, 35.5, 87.75), fT:3 
time:203.98686165833294, p0:(113.5, 35.5, 87.75), p1:(113.5, 35.5, 90.75), fT:2 
time:204.02019499166627, p0:(113.5, 35.5, 90.75), p1:(113.5, 35.5, 93.0), fT:2 
time:204.0535283249996, p0:(113.5, 35.5, 93.0), p1:(113.5, 35.5, 95.0), fT:2 
time:204.08686165833294, p0:(113.5, 35.5, 95.0), p1:(113.5, 35.5, 98.0), fT:3 
time:204.13686165833295, p0:(113.5, 35.5, 98.0), p1:(113.5, 35.5, 100.498046875), fT:2 
time:204.17019499166628, p0:(113.5, 35.5, 100.498046875), p1:(113.5, 35.5, 100.498046875), fT:106 
time:204.17019499166628, p0:(113.5, 35.5, 100.498046875), p1:(113.5, 35.5, 100.498046875), fT:106 
time:219.74543925000074, p0:(113.5, 35.5, 259.5), p1:(113.5, 35.5, 223.75), fT:2 
time:219.74543925000074, p0:(129.5, 35.5, 99.5), p1:(129.5, 35.5, 65.25), fT:3 
time:219.74543925000074, p0:(129.5, 35.5, 245.5), p1:(129.5, 35.5, 211.25), fT:3 
time:219.77877258333407, p0:(113.5, 35.5, 223.75), p1:(113.5, 35.5, 225.25), fT:1 
time:219.79543925000075, p0:(113.5, 35.5, 225.25), p1:(113.5, 35.5, 227.0), fT:1 
time:219.79543925000075, p0:(129.5, 35.5, 65.25), p1:(129.5, 35.5, 68.5), fT:2 
time:219.79543925000075, p0:(129.5, 35.5, 211.25), p1:(129.5, 35.5, 214.5), fT:2 
time:219.8121059166674, p0:(113.5, 35.5, 227.0), p1:(113.5, 35.5, 228.5), fT:1 
time:219.82877258333409, p0:(113.5, 35.5, 228.5), p1:(113.5, 35.5, 231.25), fT:1 
time:219.82877258333409, p0:(129.5, 35.5, 68.5), p1:(129.5, 35.5, 72.75), fT:2 
time:219.82877258333409, p0:(129.5, 35.5, 214.5), p1:(129.5, 35.5, 218.75), fT:2 
time:219.84543925000074, p0:(113.5, 35.5, 231.25), p1:(113.5, 35.5, 232.75), fT:1 
time:219.86210591666742, p0:(113.5, 35.5, 232.75), p1:(113.5, 35.5, 234.5), fT:2 
time:219.86210591666742, p0:(129.5, 35.5, 72.75), p1:(129.5, 35.5, 77.0), fT:3 
time:219.86210591666742, p0:(129.5, 35.5, 218.75), p1:(129.5, 35.5, 223.0), fT:3 
time:219.89543925000075, p0:(113.5, 35.5, 234.5), p1:(113.5, 35.5, 237.0), fT:1 
time:219.9121059166674, p0:(113.5, 35.5, 237.0), p1:(113.5, 35.5, 238.75), fT:1 
time:219.9121059166674, p0:(129.5, 35.5, 77.0), p1:(129.5, 35.5, 80.25), fT:2 
time:219.9121059166674, p0:(129.5, 35.5, 223.0), p1:(129.5, 35.5, 226.25), fT:2 
time:219.92877258333408, p0:(113.5, 35.5, 238.75), p1:(113.5, 35.5, 240.25), fT:1 
time:219.94543925000073, p0:(113.5, 35.5, 240.25), p1:(113.5, 35.5, 242.0), fT:1 
time:219.94543925000073, p0:(129.5, 35.5, 80.25), p1:(129.5, 35.5, 84.5), fT:2 
time:219.94543925000073, p0:(129.5, 35.5, 226.25), p1:(129.5, 35.5, 230.5), fT:2 
time:219.9621059166674, p0:(113.5, 35.5, 242.0), p1:(113.5, 35.5, 244.5), fT:1 
time:219.97877258333406, p0:(113.5, 35.5, 244.5), p1:(113.5, 35.5, 246.25), fT:1 
time:219.97877258333406, p0:(129.5, 35.5, 84.5), p1:(129.5, 35.5, 87.75), fT:3 
time:219.97877258333406, p0:(129.5, 35.5, 230.5), p1:(129.5, 35.5, 233.75), fT:3 
time:219.99543925000074, p0:(113.5, 35.5, 246.25), p1:(113.5, 35.5, 247.75), fT:2 
time:220.02877258333407, p0:(113.5, 35.5, 247.75), p1:(113.5, 35.5, 250.5), fT:1 
time:220.02877258333407, p0:(129.5, 35.5, 87.75), p1:(129.5, 35.5, 90.5), fT:1 
time:220.02877258333407, p0:(129.5, 35.5, 233.75), p1:(129.5, 35.5, 236.5), fT:1 
time:220.04543925000075, p0:(113.5, 35.5, 250.5), p1:(113.5, 35.5, 250.5), fT:33 
time:220.04543925000075, p0:(113.5, 35.5, 250.5), p1:(113.5, 35.5, 250.5), fT:33 
time:220.04543925000075, p0:(129.5, 35.5, 90.5), p1:(129.5, 35.5, 90.5), fT:33 
time:220.04543925000075, p0:(129.5, 35.5, 90.5), p1:(129.5, 35.5, 90.5), fT:33 
time:220.04543925000075, p0:(129.5, 35.5, 236.5), p1:(129.5, 35.5, 236.5), fT:33 
time:220.04543925000075, p0:(129.5, 35.5, 236.5), p1:(129.5, 35.5, 236.5), fT:33 
time:225.5146692500012, p0:(113.5, 35.5, 252.5), p1:(113.5, 35.5, 246.75), fT:3 
time:225.5146692500012, p0:(129.5, 35.5, 92.5), p1:(129.5, 35.5, 86.75), fT:3 
time:225.5146692500012, p0:(129.5, 35.5, 238.5), p1:(129.5, 35.5, 232.75), fT:3 
time:225.5146692500012, p0:(145.5, 35.5, 64.5), p1:(145.5, 35.5, 58.75), fT:3 
time:225.5646692500012, p0:(113.5, 35.5, 246.75), p1:(113.5, 35.5, 241.0), fT:2 
time:225.5646692500012, p0:(129.5, 35.5, 86.75), p1:(129.5, 35.5, 81.0), fT:2 
time:225.5646692500012, p0:(129.5, 35.5, 232.75), p1:(129.5, 35.5, 227.0), fT:2 
time:225.5646692500012, p0:(145.5, 35.5, 58.75), p1:(145.5, 35.5, 53.0), fT:2 
time:225.59800258333453, p0:(113.5, 35.5, 241.0), p1:(113.5, 35.5, 236.0), fT:2 
time:225.59800258333453, p0:(129.5, 35.5, 81.0), p1:(129.5, 35.5, 76.0), fT:2 
time:225.59800258333453, p0:(129.5, 35.5, 227.0), p1:(129.5, 35.5, 222.0), fT:2 
time:225.59800258333453, p0:(145.5, 35.5, 53.0), p1:(145.5, 35.5, 48.0), fT:2 
time:225.63133591666787, p0:(113.5, 35.5, 236.0), p1:(113.5, 35.5, 230.5), fT:3 
time:225.63133591666787, p0:(129.5, 35.5, 76.0), p1:(129.5, 35.5, 70.5), fT:3 
time:225.63133591666787, p0:(129.5, 35.5, 222.0), p1:(129.5, 35.5, 216.5), fT:3 
time:225.63133591666787, p0:(145.5, 35.5, 48.0), p1:(145.5, 35.5, 42.5), fT:3 
time:225.68133591666785, p0:(113.5, 35.5, 230.5), p1:(113.5, 35.5, 224.5), fT:2 
time:225.68133591666785, p0:(129.5, 35.5, 70.5), p1:(129.5, 35.5, 64.5), fT:2 
time:225.68133591666785, p0:(129.5, 35.5, 216.5), p1:(129.5, 35.5, 210.5), fT:2 
time:225.68133591666785, p0:(145.5, 35.5, 42.5), p1:(145.5, 35.5, 36.5), fT:2 
time:225.71466925000118, p0:(113.5, 35.5, 224.5), p1:(113.5, 35.5, 224.5), fT:22 
time:225.71466925000118, p0:(113.5, 35.5, 224.5), p1:(113.5, 35.5, 224.5), fT:22 
time:225.71466925000118, p0:(129.5, 35.5, 64.5), p1:(129.5, 35.5, 64.5), fT:22 
time:225.71466925000118, p0:(129.5, 35.5, 64.5), p1:(129.5, 35.5, 64.5), fT:22 
time:225.71466925000118, p0:(129.5, 35.5, 210.5), p1:(129.5, 35.5, 210.5), fT:22 
time:225.71466925000118, p0:(129.5, 35.5, 210.5), p1:(129.5, 35.5, 210.5), fT:22 
time:225.71466925000118, p0:(145.5, 35.5, 36.5), p1:(145.5, 35.5, 36.5), fT:22 
time:225.71466925000118, p0:(145.5, 35.5, 36.5), p1:(145.5, 35.5, 36.5), fT:22 
time:236.4762062500014, p0:(113.5, 35.5, 85.5), p1:(113.5, 35.5, 76.5), fT:87 
time:236.4762062500014, p0:(113.5, 35.5, 245.5), p1:(113.5, 35.5, 236.5), fT:87 
time:236.4762062500014, p0:(129.5, 35.5, 85.5), p1:(129.5, 35.5, 76.5), fT:87 
time:236.4762062500014, p0:(129.5, 35.5, 231.5), p1:(129.5, 35.5, 222.5), fT:87 
time:237.9262062500014, p0:(113.5, 35.5, 76.5), p1:(113.5, 35.5, 72.25), fT:2 
time:237.9262062500014, p0:(113.5, 35.5, 236.5), p1:(113.5, 35.5, 232.25), fT:2 
